sex,educ,cause,mx,age,year
Females,Higher,Circulatory,0.009923958020094725,81,2016-2019
Females,Higher,Circulatory,0.00953114075241389,81,2020-2021
Females,Higher,Circulatory,0.01191496799381072,82,2016-2019
Females,Higher,Circulatory,0.011443341132597078,82,2020-2021
Females,Higher,Circulatory,0.01425792230896692,83,2016-2019
Females,Higher,Circulatory,0.0136935549393274,83,2020-2021
Females,Higher,Circulatory,0.016998991995087157,84,2016-2019
Females,Higher,Circulatory,0.01632612562712013,84,2020-2021
Females,Higher,Circulatory,0.020185892446855775,85,2016-2019
Females,Higher,Circulatory,0.019386879885474825,85,2020-2021
Females,Higher,Circulatory,0.023866289212362994,86,2016-2019
Females,Higher,Circulatory,0.022921596530360768,86,2020-2021
Females,Higher,Circulatory,0.02808589710148498,87,2016-2019
Females,Higher,Circulatory,0.02697418085506087,87,2020-2021
Females,Higher,Circulatory,0.03288610637616911,88,2016-2019
Females,Higher,Circulatory,0.03158438478230605,88,2020-2021
Females,Higher,Circulatory,0.03830113715031734,89,2016-2019
Females,Higher,Circulatory,0.03678507390075589,89,2020-2021
Females,Higher,Circulatory,0.04435475981338195,90,2016-2019
Females,Higher,Circulatory,0.04259907770315415,90,2020-2021
Females,Higher,Circulatory,0.05105691692417563,91,2016-2019
Females,Higher,Circulatory,0.04903594519477586,91,2020-2021
Females,Higher,Circulatory,0.058438609918241416,92,2016-2019
Females,Higher,Circulatory,0.056125450689971115,92,2020-2021
Females,Higher,Circulatory,0.06661909672679997,93,2016-2019
Females,Higher,Circulatory,0.06398213156646801,93,2020-2021
Females,Higher,Circulatory,0.0757779000499188,94,2016-2019
Females,Higher,Circulatory,0.07277840452727291,94,2020-2021
Females,Higher,Circulatory,0.08616338364229333,95,2016-2019
Females,Higher,Circulatory,0.08275280241371842,95,2020-2021
Females,Higher,Circulatory,0.09811392922713126,96,2016-2019
Females,Higher,Circulatory,0.09423031287946117,96,2020-2021
Females,Higher,Circulatory,0.11208764011606094,97,2016-2019
Females,Higher,Circulatory,0.10765090626027198,97,2020-2021
Females,Higher,Circulatory,0.12870496688576094,98,2016-2019
Females,Higher,Circulatory,0.12361047401037357,98,2020-2021
Females,Higher,Circulatory,0.14881092062129084,99,2016-2019
Females,Higher,Circulatory,0.14292057937627964,99,2020-2021
Females,Higher,Circulatory,0.17356717896594448,100,2016-2019
Females,Higher,Circulatory,0.16669691763851693,100,2020-2021
Females,Higher,Congenital,1.379867239054656e-6,35,2016-2019
Females,Higher,Congenital,1.1674712058387414e-6,35,2020-2021
Females,Higher,Congenital,1.4559146956007263e-6,36,2016-2019
Females,Higher,Congenital,1.2318130593750535e-6,36,2020-2021
Females,Higher,Congenital,1.5361460950338343e-6,37,2016-2019
Females,Higher,Congenital,1.2996948424851967e-6,37,2020-2021
Females,Higher,Congenital,1.6207915767702076e-6,38,2016-2019
Females,Higher,Congenital,1.371311270381019e-6,38,2020-2021
Females,Higher,Congenital,1.7100939555162998e-6,39,2016-2019
Females,Higher,Congenital,1.4468677825208354e-6,39,2020-2021
Females,Higher,Congenital,1.8043094213314302e-6,40,2016-2019
Females,Higher,Congenital,1.5265811349149437e-6,40,2020-2021
Females,Higher,Congenital,1.903708278519351e-6,41,2016-2019
Females,Higher,Congenital,1.6106800252833223e-6,41,2020-2021
Females,Higher,Congenital,2.008575725514877e-6,42,2016-2019
Females,Higher,Congenital,1.6994057528982292e-6,42,2020-2021
Females,Higher,Congenital,2.1192126780526283e-6,43,2016-2019
Females,Higher,Congenital,1.7930129150467145e-6,43,2020-2021
Females,Higher,Congenital,2.2359366380342165e-6,44,2016-2019
Females,Higher,Congenital,1.8917701421574452e-6,44,2020-2021
Females,Higher,Congenital,2.359083498341777e-6,45,2016-2019
Females,Higher,Congenital,1.9959616248083555e-6,45,2020-2021
Females,Higher,Congenital,2.48901568556305e-6,46,2016-2019
